Material Typ;Material Typ;Kategorie;UUID;Name;MaterialTemplatesID;Bezugsgröße;Bezugseinheit;Dichte [kg/m3];Flächendichte [kg/m2];Längengewicht [kg/m];Umrechnungsfaktor auf 1kg;Wärmeleitfähigkeit [W/m*K];spez. Wärmekapazität [kJ/kg*K];EPD Modul;GWP;ODP;POCP;AP;EP;PENRT;PENRM;PENRE;PERT;PERM;PERE;ADPE;ADPF;costs;WDVS;weblink oekobaudat;weblink erw. Stoffeigen;weblink Kosten
Beschichtungen;Beschichtungen;Innenbeschichtungen;609730bf-f393-4c95-8227-8774d7ced1f8;Dispersionsbasierte Produkte, lösemittelfrei;;1;kg;;;;1;;;D;-0.0786;-2.38E-11;-9.99E-06;-0.000109;-1.22E-05;-1.2;;;-0.114;;;-8.14E-09;-1.04;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=609730bf-f393-4c95-8227-8774d7ced1f8;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;A1;0.19;5.47E-08;0.000458;0.00188;0.000399;15.9;3.85;12.05;1.4;0.98;0.42;5.61E-07;15.4;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;A2;0.0208;1.14E-12;-5.63E-05;0.000134;3.28E-05;0.287;;0.287;0.0114;;0.0114;9.48E-10;0.286;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;A3;0.0786;4.53E-10;2.45E-05;0.000174;1.68E-05;2.37;;2.37;0.532;;0.532;4.01E-07;2.24;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;A4;0.0242;1.30E-12;-6.59E-05;0.000153;3.80E-05;0.334;;0.334;0.0133;;0.0133;1.10E-09;0.333;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;A5;0.0902;1.91E-12;-1.27E-06;1.02E-05;2.33E-06;0.0218;;0.0218;0.00131;;0.00131;1.10E-09;0.0202;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;C2;0.0013;7.00E-14;-3.56E-06;8.27E-06;2.05E-06;0.018;;0.018;0.000716;;0.000716;5.96E-11;0.018;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;C3;0.502;4.53E-10;1.35E-05;0.00021;3.64E-05;0.266;;0.266;0.0144;;0.0144;1.54E-08;0.234;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;C4;0.00555;5.47E-12;3.53E-06;3.38E-05;4.63E-06;0.0776;;0.0776;0.00575;;0.00575;1.99E-09;0.0742;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Innenbeschichtungen;224d4f2e-98a3-4019-a5d4-2d6e66671029;Dispersionsklebstoff UZIN UZ 57;;1;kg;;;;1;;;D;-0.239;-4.21E-10;-3.12E-05;-0.000291;-3.22E-05;-3.64;;-3.64;-0.261;;-0.261;-3.34E-08;-3.19;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=224d4f2e-98a3-4019-a5d4-2d6e66671029;;
Beschichtungen;Beschichtungen;Grundierungen;34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;Dispersionsputz;;1;kg;1575;;;1;;;A1 - A3;1.22;1.08E-10;0.000561;0.00959;0.000412;22.4;2.61;19.79;3.19;0;3.19;4.45E-06;20.4;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;;
Beschichtungen;Beschichtungen;Grundierungen;34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;Dispersionsputz;;1;kg;1575;;;1;;;A4;0.199;4.74E-13;-0.000269;0.00083;0.000198;2.71;;;0.161;;;9.29E-09;2.7;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;;
Beschichtungen;Beschichtungen;Grundierungen;34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;Dispersionsputz;;1;kg;1575;;;1;;;A5;0.0289;1.10E-14;0.00728;2.68E-06;5.06E-07;0.00543;;;0.000509;;;2.23E-10;0.00485;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;;
Beschichtungen;Beschichtungen;Grundierungen;34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;Dispersionsputz;;1;kg;1575;;;1;;;C4;0.0112;1.41E-13;6.69E-06;7.13E-05;9.78E-06;0.154;;;0.0127;;;4.22E-09;0.148;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;;
Beschichtungen;Beschichtungen;Grundierungen;34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;Dispersionsputz;;1;kg;1575;;;1;;;D;-0.0193;-7.01E-13;-3.41E-06;-3.23E-05;-3.58E-06;-0.284;;;-0.0271;;;-2.11E-09;-0.247;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=34bc3f3e-7df6-4c4b-95c7-7aa3724cd5bf;;
Beschichtungen;Beschichtungen;Grundierungen;3ea2da0e-d157-4a91-ba11-913e64933ea4;Dispersionssilikatputz;;1;kg;1625;;;1;;;A1 - A3;0.946;7.87E-11;0.000416;0.00683;0.000339;17.9;2.2;15.7;2.41;0;2.41;7.02E-06;16.4;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=3ea2da0e-d157-4a91-ba11-913e64933ea4;;
Beschichtungen;Beschichtungen;Grundierungen;3ea2da0e-d157-4a91-ba11-913e64933ea4;Dispersionssilikatputz;;1;kg;1625;;;1;;;A4;0.199;4.74E-13;-0.000269;0.00083;0.000198;2.71;;;0.161;;;9.29E-09;2.7;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=3ea2da0e-d157-4a91-ba11-913e64933ea4;;
Beschichtungen;Beschichtungen;Grundierungen;3ea2da0e-d157-4a91-ba11-913e64933ea4;Dispersionssilikatputz;;1;kg;1625;;;1;;;A5;0.0289;1.10E-14;0.00728;2.68E-06;5.06E-07;0.00543;;;0.000509;;;2.23E-10;0.00485;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=3ea2da0e-d157-4a91-ba11-913e64933ea4;;
Beschichtungen;Beschichtungen;Grundierungen;3ea2da0e-d157-4a91-ba11-913e64933ea4;Dispersionssilikatputz;;1;kg;1625;;;1;;;C4;0.0105;1.31E-13;6.24E-06;6.65E-05;9.12E-06;0.144;;;0.0119;;;3.94E-09;0.138;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=3ea2da0e-d157-4a91-ba11-913e64933ea4;;
Beschichtungen;Beschichtungen;Grundierungen;3ea2da0e-d157-4a91-ba11-913e64933ea4;Dispersionssilikatputz;;1;kg;1625;;;1;;;D;-0.0193;-7.01E-13;-3.41E-06;-3.23E-05;-3.58E-06;-0.284;;;-0.0271;;;-2.11E-09;-0.247;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=3ea2da0e-d157-4a91-ba11-913e64933ea4;;
Komponenten von Fenstern und Vorhangfassaden;Komponenten von Fenstern und Vorhangfassaden;Füllungen;fa9f6670-3170-4597-92ab-a2fdec7f1451;Dreifachverglasung;0abbb1a2-83ff-11e6-946a-2cd444b2e704;1;m2;;9.72;;;;;A1 - A3;58.64366957;9.11E-10;0.020264802;0.244633482;0.04674017;726.6733633;0;726.6733633;36.26026482;0;36.26026482;0.000325387;695.5777721;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=fa9f6670-3170-4597-92ab-a2fdec7f1451;;
Metalle;Metalle;Edelstahl;88559403-7658-48f2-bac9-7986b4d0f4c2;Edelstahlblech;;1;kg;;;;1;;;A1 - A3;3.812484978;1.33E-10;0.001519583;0.025737532;0.001386805;46.64770712;0;46.64770712;4.973032921;0;4.973032921;0.000810635;43.10661735;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=88559403-7658-48f2-bac9-7986b4d0f4c2;;
Metalle;Metalle;Edelstahl;88559403-7658-48f2-bac9-7986b4d0f4c2;Edelstahlblech;;1;kg;;;;1;;;C4;0.000887194;1.42E-14;5.05E-07;5.38E-06;7.38E-07;0.012060929;0;0.012060929;0.001186454;0;0.001186454;3.30E-10;0.011577815;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=88559403-7658-48f2-bac9-7986b4d0f4c2;;
Metalle;Metalle;Edelstahl;88559403-7658-48f2-bac9-7986b4d0f4c2;Edelstahlblech;;1;kg;;;;1;;;D;-3.02643398;-5.24E-11;-0.001270117;-0.02233932;-0.001026591;-35.08163184;0;-35.08163184;-3.461468773;0;-3.461468773;-8.24E-05;-34.30907478;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=88559403-7658-48f2-bac9-7986b4d0f4c2;;
Metalle;Metalle;Edelstahl;4d37d8f4-13db-418d-820d-5cf08f050eff;Edelstahl-Trinkwasserrohr;;1;kg;;;;1;;;A1 - A3;3.915869371;1.43E-10;0.001523829;0.025921624;0.001414054;48.06428432;0;48.06428432;5.347172307;0;5.347172307;0.000810659;44.17419065;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4d37d8f4-13db-418d-820d-5cf08f050eff;;
Metalle;Metalle;Edelstahl;4d37d8f4-13db-418d-820d-5cf08f050eff;Edelstahl-Trinkwasserrohr;;1;kg;;;;1;;;C2;0.009349544;5.43E-13;-8.68E-06;3.34E-05;7.80E-06;0.127652113;0;0.127652113;0.024360189;0;0.024360189;1.52E-09;0.108342968;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4d37d8f4-13db-418d-820d-5cf08f050eff;;
Metalle;Metalle;Edelstahl;4d37d8f4-13db-418d-820d-5cf08f050eff;Edelstahl-Trinkwasserrohr;;1;kg;;;;1;;;C4;0.001774389;2.84E-14;1.01E-06;1.08E-05;1.48E-06;0.024121857;0;0.024121857;0.002372908;0;0.002372908;6.59E-10;0.02315563;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4d37d8f4-13db-418d-820d-5cf08f050eff;;
Metalle;Metalle;Edelstahl;4d37d8f4-13db-418d-820d-5cf08f050eff;Edelstahl-Trinkwasserrohr;;1;kg;;;;1;;;D;-0.50082603;5.57E-12;-0.000288818;-0.001947944;-0.000163331;-4.42242941;0;-4.42242941;0.149275495;0;0.149275495;-5.07E-09;-4.670577262;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4d37d8f4-13db-418d-820d-5cf08f050eff;;
Dämmstoffe;Dämmstoffe;Mineralwolle;601af947-1f14-474d-8233-780715a12268;Einblasdämmung Mineralwolle;d9390300-34ec-11e7-aa76-54ee7579a8e4;1;m3;50;;;0.02;0.038;0.85;A1 - A3;1.471563609;4.68E-11;0.000193082;0.005013012;0.000989849;19.57978717;0;19.57978717;1.766327107;0;1.766327107;2.30E-07;17.92034095;1.06;True;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=601af947-1f14-474d-8233-780715a12268;http://www.masea-ensan.de/cgi-bin/viewmaterial?xml=Mineralfaser_040.xml;http://www.eu-baustoffhandel.de/vollwaermeschutz-daemmplatten/fassadendaemmung-mit-mineralwolle/kerndaemmung-glaswolle
Komponenten von Fenstern und Vorhangfassaden;Komponenten von Fenstern und Vorhangfassaden;Dichtungskomponenten / -materialien;e5dbd47f-b181-4d85-bafe-2efc555f6afe;Elastomer Fugenbänder, Polysulfid;;1;kg;;;;1;;;A1 - A3;8.716432222;3.45E-10;0.002557214;0.022501571;0.002093309;184.4762201;16.416;168.0602201;12.68044442;0;12.68044442;3.21E-05;172.5542634;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e5dbd47f-b181-4d85-bafe-2efc555f6afe;;
Komponenten von Fenstern und Vorhangfassaden;Komponenten von Fenstern und Vorhangfassaden;Dichtungskomponenten / -materialien;83cf5d3d-0567-4493-894f-df30ff71e375;Elastomer Fugenbänder, Polyurethan;;1;kg;;;;1;;;A1 - A3;6.116268048;4.20E-10;0.002118171;0.011328213;0.002190419;120.1558922;32.4;87.75589218;10.08235078;0;10.08235078;4.62E-05;110.0828126;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=83cf5d3d-0567-4493-894f-df30ff71e375;;
Komponenten von Fenstern und Vorhangfassaden;Komponenten von Fenstern und Vorhangfassaden;Dichtungskomponenten / -materialien;d58a0a7c-973c-4631-a46f-2f2287757c91;Elastomer Fugenbänder, Silikonkautschuk;;1;kg;;;;1;;;A1 - A3;7.496766205;8.01E-10;0.001852068;0.020604608;0.002480495;116.8969076;21.6;95.29690756;36.58788868;0;36.58788868;0.000326094;101.0283088;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d58a0a7c-973c-4631-a46f-2f2287757c91;;
Gebäudetechnik;Gebäudetechnik;Heizung;4ce46be9-2f9c-4686-aa21-7ebf34783674;Elektrischer Durchlauferhitzer (21 kW);;1;Stück;;;;;;;A1 - A3;14.93864218;1.31E-09;0.004953702;0.052782173;0.005500978;276.0969109;65.76276;210.3341509;23.02086713;0;23.02086713;0.01294507;256.1456435;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4ce46be9-2f9c-4686-aa21-7ebf34783674;;
Gebäudetechnik;Gebäudetechnik;Heizung;4ce46be9-2f9c-4686-aa21-7ebf34783674;Elektrischer Durchlauferhitzer (21 kW);;1;Stück;;;;;;;C2;0.033012797;1.61E-12;-3.50E-05;0.000131873;3.20E-05;0.450770304;0;0.450770304;0.077676177;0;0.077676177;4.77E-09;0.393360116;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4ce46be9-2f9c-4686-aa21-7ebf34783674;;
Gebäudetechnik;Gebäudetechnik;Heizung;4ce46be9-2f9c-4686-aa21-7ebf34783674;Elektrischer Durchlauferhitzer (21 kW);;1;Stück;;;;;;;C4;4.918534139;3.55E-12;5.02E-05;0.000619648;9.88E-05;1.045005303;0;1.045005303;0.139486739;0;0.139486739;1.89E-07;0.919101641;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4ce46be9-2f9c-4686-aa21-7ebf34783674;;
Gebäudetechnik;Gebäudetechnik;Heizung;4ce46be9-2f9c-4686-aa21-7ebf34783674;Elektrischer Durchlauferhitzer (21 kW);;1;Stück;;;;;;;D;-8.564339267;-6.53E-10;-0.003085407;-0.037772874;-0.003165971;-116.7411942;0;-116.7411942;-13.76002497;0;-13.76002497;-0.013616287;-107.5729253;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4ce46be9-2f9c-4686-aa21-7ebf34783674;;
Metalle;Metalle;Oberflächenbehandlung und Beschichtung von Metallen;ecf20fae-fe11-41ad-b248-8b4118fd7cc7;Eloxiertes Aluminiumblech;;1;m2;;1;;1;;;A1 - A3;6.683612414;4.33E-10;0.000994818;0.011811189;0.002205611;100.991408;0;100.991408;16.21369479;0;16.21369479;4.78E-06;85.6693931;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ecf20fae-fe11-41ad-b248-8b4118fd7cc7;;
Holz;Holz;End-of-life-Prozesse;553d7a7a-bf66-4a69-b1ae-6cf15e396935;End of life - Holz naturbelassen in MVA;;1;kg;;;;1;;;C3;1.820459207;1.31E-12;1.64E-05;0.000174751;3.73E-05;0.393556657;0;0.393556657;0.049077921;0;0.049077921;1.91E-08;0.347249752;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=553d7a7a-bf66-4a69-b1ae-6cf15e396935;;
Holz;Holz;End-of-life-Prozesse;553d7a7a-bf66-4a69-b1ae-6cf15e396935;End of life - Holz naturbelassen in MVA;;1;kg;;;;1;;;D;-0.769393056;-3.83E-11;-9.51E-05;-0.000911522;-0.000124842;-11.5111449;0;-11.5111449;-1.440835395;0;-1.440835395;-1.11E-07;-10.14895287;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=553d7a7a-bf66-4a69-b1ae-6cf15e396935;;
Holz;Holz;End-of-life-Prozesse;44e4bf51-8e23-47e3-8f5e-5243525bb32e;End of life - Holzwerkstoffe in MVA;;1;kg;;;;1;;;C3;1.79917001;1.40E-12;4.01E-05;0.000585632;0.000146958;0.512125016;0;0.512125016;0.052463263;0;0.052463263;1.95E-08;0.462617814;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=44e4bf51-8e23-47e3-8f5e-5243525bb32e;;
Holz;Holz;End-of-life-Prozesse;44e4bf51-8e23-47e3-8f5e-5243525bb32e;End of life - Holzwerkstoffe in MVA;;1;kg;;;;1;;;D;-0.59866887;-2.98E-11;-7.40E-05;-0.000708864;-9.71E-05;-8.958028106;0;-8.958028106;-1.119477142;0;-1.119477142;-8.62E-08;-7.899655303;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=44e4bf51-8e23-47e3-8f5e-5243525bb32e;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;55e5f6b9-224f-4938-8ae7-5495fade6f19;End of life - Kupferrohr (blank);;1;kg;;;;1;;;C2;0.008499585;4.94E-13;-8.68E-06;3.04E-05;7.09E-06;0.116047375;0;0.116047375;0.022145627;0;0.022145627;1.38E-09;0.098493607;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=55e5f6b9-224f-4938-8ae7-5495fade6f19;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;55e5f6b9-224f-4938-8ae7-5495fade6f19;End of life - Kupferrohr (blank);;1;kg;;;;1;;;C4;0.001613081;2.58E-14;9.18E-07;9.79E-06;1.34E-06;0.021928961;0;0.021928961;0.002157189;0;0.002157189;5.99E-10;0.021050573;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=55e5f6b9-224f-4938-8ae7-5495fade6f19;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;55e5f6b9-224f-4938-8ae7-5495fade6f19;End of life - Kupferrohr (blank);;1;kg;;;;1;;;D;-0.940246792;-9.57E-11;-0.000399256;-0.005527309;-0.000437629;-13.07637941;0;-13.07637941;-1.683712295;0;-1.683712295;-0.002394392;-12.12538077;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=55e5f6b9-224f-4938-8ae7-5495fade6f19;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);;1;kg;;;;1;;;C2;0.008499585;4.94E-13;-8.68E-06;3.04E-05;7.09E-06;0.116047375;0;0.116047375;0.022145627;0;0.022145627;1.38E-09;0.098493607;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c82c3cf-7c88-441f-b430-a815501d06e1;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);;1;kg;;;;1;;;C4;0.001613081;2.58E-14;9.18E-07;9.79E-06;1.34E-06;0.021928961;0;0.021928961;0.002157189;0;0.002157189;5.99E-10;0.021050573;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c82c3cf-7c88-441f-b430-a815501d06e1;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);;1;kg;;;;1;;;D;-1.158766934;-1.18E-10;-0.000492046;-0.006811895;-0.000539337;-16.11542439;0;-16.11542439;-2.075019188;0;-2.075019188;-0.002950866;-14.9434068;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c82c3cf-7c88-441f-b430-a815501d06e1;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;bb06e52e-23bd-4350-ae9c-eb1d9de3de48;End of life - Steinzeugrohr;;1;kg;;;;1;;;C2;0.003609752;4.45E-15;-9.29E-06;2.23E-05;6.05E-06;0.049309883;0;0.049309883;0.003761154;0;0.003761154;1.86E-10;0.04914433;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=bb06e52e-23bd-4350-ae9c-eb1d9de3de48;;
Gebäudetechnik;Gebäudetechnik;End-of-life-Prozesse;bb06e52e-23bd-4350-ae9c-eb1d9de3de48;End of life - Steinzeugrohr;;1;kg;;;;1;;;C4;0.016130807;2.58E-13;9.18E-06;9.79E-05;1.34E-05;0.21928961;0;0.21928961;0.021571889;0;0.021571889;5.99E-09;0.21050573;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=bb06e52e-23bd-4350-ae9c-eb1d9de3de48;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;93eb05bd-e607-46de-8d7b-e0727f8d2400;End of Life von Aluminium;;1;kg;;;;1;;;C4;0.00080654;1.29E-14;4.59E-07;4.89E-06;6.71E-07;0.01096448;0;0.01096448;0.001078594;0;0.001078594;3.00E-10;0.010525286;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=93eb05bd-e607-46de-8d7b-e0727f8d2400;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;93eb05bd-e607-46de-8d7b-e0727f8d2400;End of Life von Aluminium;;1;kg;;;;1;;;D;-8.456720942;-3.76E-09;-0.002307196;-0.037539196;-0.002378881;-115.7468498;0;-115.7468498;-34.56172059;0;-34.56172059;-2.87E-06;-90.90456027;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=93eb05bd-e607-46de-8d7b-e0727f8d2400;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;55945019-018a-46da-baae-a3ee62d59cf3;End of Life von Edelstahl;;1;kg;;;;1;;;C4;0.00080654;1.29E-14;4.59E-07;4.89E-06;6.71E-07;0.01096448;0;0.01096448;0.001078594;0;0.001078594;3.00E-10;0.010525286;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=55945019-018a-46da-baae-a3ee62d59cf3;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;55945019-018a-46da-baae-a3ee62d59cf3;End of Life von Edelstahl;;1;kg;;;;1;;;D;-3.02643398;-5.24E-11;-0.001270117;-0.02233932;-0.001026591;-35.08163184;0;-35.08163184;-3.461468773;0;-3.461468773;-8.24E-05;-34.30907478;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=55945019-018a-46da-baae-a3ee62d59cf3;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;d9f045e5-ae07-4ae6-9fde-5346560411d8;End of Life von Stahlprofilen;;1;kg;;;;1;;;C4;0.00080654;1.29E-14;4.64E-07;4.89E-06;6.71E-07;0.01096448;0;0.01096448;0.001078594;0;0.001078594;3.00E-10;0.010525286;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d9f045e5-ae07-4ae6-9fde-5346560411d8;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;d9f045e5-ae07-4ae6-9fde-5346560411d8;End of Life von Stahlprofilen;;1;kg;;;;1;;;D;-0.205586893;2.28E-12;-0.000118559;-0.000799623;-6.70E-05;-1.815387915;0;-1.815387915;0.061276937;0;0.061276937;-2.08E-09;-1.917251522;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d9f045e5-ae07-4ae6-9fde-5346560411d8;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;f34a799a-52de-4f69-a623-335f5be207d9;End of Life von verzinktem Stahl;;1;kg;;;;1;;;C4;0.00080654;1.29E-14;4.59E-07;4.89E-06;6.71E-07;0.01096448;0;0.01096448;0.001078594;0;0.001078594;3.00E-10;0.010525286;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f34a799a-52de-4f69-a623-335f5be207d9;;
Metalle;Metalle;End-of-life-Prozesse von Metallen;f34a799a-52de-4f69-a623-335f5be207d9;End of Life von verzinktem Stahl;;1;kg;;;;1;;;D;-1.618794434;1.80E-11;-0.000933532;-0.006296241;-0.000527926;-14.29439303;0;-14.29439303;0.482495571;0;0.482495571;-1.64E-08;-15.09646868;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f34a799a-52de-4f69-a623-335f5be207d9;;
Komponenten von Fenstern und Vorhangfassaden;Komponenten von Fenstern und Vorhangfassaden;Dichtungskomponenten / -materialien;c445279d-1358-4e36-9f0d-7ecfe8abda81;EPDM-Dichtungen Aluminiumprofil, thermisch getrennt;;1;m;;;;2.325581395;;;A1 - A3;3.094999762;9.02E-10;0.001002893;0.009435347;0.000664072;97.27128922;39.59999999;57.67128922;5.312815109;0;5.312815109;7.63E-07;88.89831631;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=c445279d-1358-4e36-9f0d-7ecfe8abda81;0.43;
